timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std,cat_entropy,cat_temperature,mix_ratio
8435,100,-156.1956478131806,0.003675048239529133,0.8312832713127136,1.3769124746322632,0.005196514539420605,4.337648391723633,1.4132616519927979,0.1476125
17002,200,-175.07368903509789,0.005687037017196417,0.9263669848442078,1.3749943971633911,0.005397556349635124,4.383530139923096,1.4132616519927979,0.297535
25523,300,-163.59650567194646,0.0006015137187205255,0.37060919404029846,1.3698749542236328,0.004254267085343599,4.40174674987793,1.4132616519927979,0.44665249999999995
33911,400,-149.62148911066623,-0.0012920144945383072,1.3278220891952515,1.370904803276062,0.003599279560148716,4.3924336433410645,1.4132616519927979,0.5934424999999999
42441,500,-148.15601918684146,-0.0048965224996209145,0.388160765171051,1.3750795125961304,0.004290561191737652,4.414280891418457,1.4132616519927979,0.7
50957,600,-144.15119253608532,0.00865542609244585,0.126863494515419,1.3759411573410034,0.0036733124870806932,4.375185012817383,1.4132616519927979,0.7
59639,700,-123.1161807683866,-0.009264581836760044,0.2578102648258209,1.375468373298645,0.003172433702275157,4.412507057189941,1.4132616519927979,0.7
68382,800,-133.7062817432686,-0.007183309644460678,0.1636669635772705,1.3724169731140137,0.004456749651581049,4.329113483428955,1.4132616519927979,0.7
78493,900,-135.52996842903832,-0.0077552394941449165,0.3808557093143463,1.3592795133590698,0.00433859508484602,4.601105213165283,1.4132616519927979,0.7
87477,1000,-124.82423780066773,-0.0026147207245230675,0.1842246949672699,1.3550390005111694,0.002524987328797579,4.4665913581848145,1.4132616519927979,0.7
97080,1100,-138.40558721121576,-0.002288531046360731,0.15612706542015076,1.3371527194976807,0.003753376891836524,4.492442607879639,1.4132616519927979,0.7
106484,1200,-124.41288902707082,-0.010620774701237679,0.11642870306968689,1.3289908170700073,0.003903239034116268,4.46636438369751,1.4132616519927979,0.7
116097,1300,-136.57390907870075,-0.009858597069978714,0.18187624216079712,1.3199361562728882,0.0029464915860444307,4.475165367126465,1.4132616519927979,0.7
125522,1400,-133.9939168570489,0.011157020926475525,0.20431633293628693,1.2962007522583008,0.003909029997885227,4.497253894805908,1.4132616519927979,0.7
135283,1500,-125.77960104204672,0.017435938119888306,0.098221555352211,1.29356849193573,0.0032688588835299015,4.457153797149658,1.4132616519927979,0.7
144732,1600,-118.9552583580569,0.016010606661438942,0.12972082197666168,1.2902623414993286,0.0036358970683068037,4.510923385620117,1.4132616519927979,0.7
155116,1700,-121.685638095734,-0.025175580754876137,0.18187494575977325,1.2750447988510132,0.003353554056957364,4.49236536026001,1.4132616519927979,0.7
164748,1800,-121.80302757318285,-0.0028616469353437424,0.08821827918291092,1.2594389915466309,0.002629993949085474,4.508421421051025,1.4132616519927979,0.7
174628,1900,-117.51514883901409,-0.021961579099297523,0.24768981337547302,1.2637825012207031,0.00218639662489295,4.568575382232666,1.4132616519927979,0.7
184486,2000,-118.69457830949618,-0.0010668219765648246,0.17107445001602173,1.2387717962265015,0.0031229436863213778,4.528585433959961,1.4132616519927979,0.7
194429,2100,-117.94093127627436,-0.0224989615380764,0.24013422429561615,1.2548242807388306,0.003392877522855997,4.528052806854248,1.4132616519927979,0.7
