timesteps,episodes,mean_return,policy_loss,cat_loss,entropy,credit_weight_std,cat_entropy,cat_temperature,mix_ratio
2174,100,21.74,-0.004496450535953045,0.48463425040245056,0.6914088726043701,0.020228464156389236,2.9309582710266113,1.4132616519927979,0.038045
4689,200,25.15,-0.008986948058009148,0.34081611037254333,0.6869903206825256,0.021025467664003372,3.18843936920166,1.4132616519927979,0.08205749999999999
7658,300,29.69,-0.02867654338479042,0.17405299842357635,0.6769303679466248,0.02302013337612152,3.1641147136688232,1.4132616519927979,0.134015
10610,400,29.52,-0.04535701125860214,0.02317655272781849,0.6631024479866028,0.021614475175738335,3.228553533554077,1.4132616519927979,0.18567499999999998
14241,500,36.31,-0.02270677126944065,0.0603836290538311,0.6494864225387573,0.019017154350876808,3.538350820541382,1.4132616519927979,0.24921749999999998
18433,600,41.92,-0.02961421199142933,0.02286257967352867,0.6502196192741394,0.015862613916397095,3.6918249130249023,1.4132616519927979,0.32257749999999996
23167,700,47.34,-0.0012691483134403825,0.011637182906270027,0.6425497531890869,0.009645692072808743,3.7361347675323486,1.4132616519927979,0.40542249999999996
27736,800,45.69,-0.03403971716761589,0.030329851433634758,0.6246960759162903,0.011504399590194225,3.6335856914520264,1.4132616519927979,0.48538
33062,900,53.26,-0.00774243613705039,0.01419234462082386,0.6177302002906799,0.008689702488481998,3.753202199935913,1.4132616519927979,0.578585
38996,1000,59.34,-0.0013297192053869367,0.007694217376410961,0.620386004447937,0.006852773018181324,3.88089656829834,1.4132616519927979,0.68243
45408,1100,64.12,-0.009855944663286209,0.054860398173332214,0.6018633842468262,0.006384255364537239,3.9506711959838867,1.4132616519927979,0.7
52015,1200,66.07,-0.007218789774924517,0.030472395941615105,0.604486346244812,0.007637109141796827,3.9545176029205322,1.4132616519927979,0.7
59228,1300,72.13,-0.023123495280742645,0.07010290771722794,0.5999186635017395,0.007637859787791967,4.3117756843566895,1.4132616519927979,0.7
66264,1400,70.36,-0.004681163467466831,0.008609856478869915,0.5908194184303284,0.0074250404722988605,4.20726203918457,1.4132616519927979,0.7
74552,1500,82.88,0.00030669954139739275,0.008406832814216614,0.5819596648216248,0.006003385875374079,4.412286281585693,1.4132616519927979,0.7
82793,1600,82.41,-0.0334499254822731,0.08740080893039703,0.5862087607383728,0.009117759764194489,4.361424922943115,1.4132616519927979,0.7
93475,1700,106.82,-0.0017546580638736486,0.17678222060203552,0.590002715587616,0.006022898480296135,4.541627883911133,1.4132616519927979,0.7
103736,1800,102.61,-7.056703179841861e-05,0.12182634323835373,0.5822768211364746,0.004598249215632677,4.515758037567139,1.4132616519927979,0.7
113293,1900,95.57,0.013201172463595867,0.04639367014169693,0.580274760723114,0.0037770834751427174,4.472392559051514,1.4132616519927979,0.7
123032,2000,97.39,-0.013746286742389202,0.004582313355058432,0.5810479521751404,0.0036630025133490562,4.384763717651367,1.4132616519927979,0.7
132538,2100,95.06,-0.011671486310660839,0.021655529737472534,0.5775637030601501,0.0029923105612397194,4.430643081665039,1.4132616519927979,0.7
142680,2200,101.42,0.003803305560722947,0.026725035160779953,0.5707710385322571,0.0038265909533947706,4.505099773406982,1.4132616519927979,0.7
152603,2300,99.23,0.005465094931423664,0.014667867682874203,0.5706261992454529,0.0032357978634536266,4.470678329467773,1.4132616519927979,0.7
161596,2400,89.93,0.014220391400158405,0.005989579018205404,0.5675394535064697,0.0052659702487289906,4.302999496459961,1.4132616519927979,0.7
171848,2500,102.52,0.002973484108224511,0.08567924797534943,0.5742905139923096,0.003214134369045496,4.583916187286377,1.4132616519927979,0.7
182433,2600,105.85,0.0021762836258858442,0.01970408484339714,0.574127197265625,0.003926652949303389,4.561160564422607,1.4132616519927979,0.7
193646,2700,112.13,0.0021716945338994265,0.12383318692445755,0.5633653998374939,0.005332319065928459,4.597222805023193,1.4132616519927979,0.7
