timesteps,episodes,mean_return,policy_loss,predictor_loss,predictor_last_mse,entropy,value_diff_std
2122,100,21.22,0.015810271725058556,0.9285523891448975,0.9931841118571659,0.6893144845962524,0.0922350361943245
4646,200,25.24,-0.04736926406621933,1.9354867935180664,1.4840521559623692,0.6888041496276855,0.11816708743572235
7372,300,27.26,-0.04078002646565437,1.0939732789993286,1.598271928106745,0.6830666065216064,0.11350513249635696
10849,400,34.77,-0.14963646233081818,2.7612781524658203,1.053862105558316,0.6723679900169373,0.11544618010520935
14300,500,34.51,-0.16063512861728668,1.1758228540420532,1.1492442027355234,0.6572254300117493,0.14716395735740662
18419,600,41.19,-0.26121407747268677,1.503409504890442,1.3100335280100504,0.6244856715202332,0.11240969598293304
23106,700,46.87,-0.14649787545204163,1.3006476163864136,0.6892790782252026,0.6306890845298767,0.08372582495212555
28706,800,56.0,-0.10521934181451797,1.5203742980957031,0.7327052479575893,0.6111491322517395,0.12810544669628143
34561,900,58.55,-0.09788481891155243,1.1198375225067139,0.9946835666118811,0.6121522188186646,0.10505098849534988
40753,1000,61.92,-0.07124870270490646,0.637283205986023,0.4775222687258671,0.6017645001411438,0.11316807568073273
48433,1100,76.8,-0.03146197646856308,0.8797207474708557,1.4669059828311826,0.5946549773216248,0.12125834822654724
56847,1200,84.14,-0.09576594829559326,1.0113483667373657,1.032191780903698,0.5840751528739929,0.13522037863731384
66386,1300,95.39,-0.06058410927653313,1.0895179510116577,1.0892938125878573,0.5779076814651489,0.09306903928518295
78980,1400,125.94,-0.04460309073328972,0.9265850186347961,0.6094573191134259,0.5858224034309387,0.11635040491819382
91308,1500,123.28,-0.05958574637770653,0.6490297913551331,0.4469708946400109,0.5883040428161621,0.11201050877571106
106838,1600,155.3,-0.013833139091730118,0.6854681372642517,0.8300042742126,0.5892799496650696,0.12736380100250244
121224,1700,143.86,-0.0441160574555397,0.58934086561203,0.8846601672587288,0.5856059193611145,0.12961842119693756
136774,1800,155.5,-0.015125652775168419,0.6464228630065918,0.589739769231528,0.5785059332847595,0.09558836370706558
153927,1900,171.53,-0.043702851980924606,0.49001944065093994,0.3440222339161361,0.5751769542694092,0.10131543129682541
171940,2000,180.13,-0.03839951381087303,0.763917088508606,1.4503864977664003,0.5722232460975647,0.09940855950117111
189115,2100,171.75,-0.0764436423778534,0.5450612306594849,0.4526297152723904,0.5576056838035583,0.1366134136915207
