timesteps,episodes,mean_return,policy_loss,predictor_loss,predictor_last_mse,entropy,value_diff_std
2388,100,23.88,0.012611611746251583,1.241195559501648,1.4777161262424974,0.6884688138961792,0.05290719121694565
5328,200,29.4,-0.028368767350912094,1.0408213138580322,1.3187874266664343,0.6867257952690125,0.0803748369216919
8312,300,29.84,-0.08127177506685257,0.6290971636772156,1.2766523956456999,0.6779068112373352,0.04064873978495598
11827,400,35.15,-0.06297668069601059,0.6175285577774048,0.6346120454836637,0.6650441884994507,0.03609442338347435
15292,500,34.65,-0.009860670194029808,0.6847277879714966,1.1258594715540917,0.6546208262443542,0.03954951837658882
19354,600,40.62,-0.033715952187776566,0.636970579624176,0.7846483018865305,0.6450933218002319,0.053181346505880356
23215,700,38.61,-0.09184218943119049,0.4971928000450134,0.3084365663537028,0.6393020749092102,0.056298427283763885
27140,800,39.25,-0.04103079438209534,0.3951679468154907,0.3390332280677588,0.6235658526420593,0.06368277221918106
31460,900,43.2,-0.13086336851119995,0.4553750157356262,0.5066573936511607,0.6155290007591248,0.14651711285114288
37092,1000,56.32,-0.03865836560726166,0.5554595589637756,0.5346835899642125,0.5981139540672302,0.08156926184892654
42547,1100,54.55,-0.03459108993411064,0.3138812184333801,0.23817835598213907,0.6013182401657104,0.0802306979894638
47815,1200,52.68,0.014481868594884872,0.32736194133758545,0.294327149943759,0.5950069427490234,0.0868656113743782
53367,1300,55.52,-0.025767361745238304,0.21905292570590973,0.23344367355275608,0.5819708108901978,0.08831324428319931
59543,1400,61.76,-0.035110048949718475,0.18665194511413574,0.15385203540790826,0.5839230418205261,0.08425359427928925
65707,1500,61.64,-0.041962508112192154,0.22476528584957123,0.11899540458495418,0.5715110898017883,0.08059541136026382
72532,1600,68.25,-0.05030090734362602,0.2798674404621124,0.1360302939118507,0.5587269067764282,0.09098896384239197
79858,1700,73.26,-0.023919476196169853,0.1429404318332672,0.06693700072646606,0.5562307238578796,0.09151069819927216
87231,1800,73.73,-0.01726205088198185,0.1794828176498413,0.18158364433329552,0.5568626523017883,0.08587333559989929
95578,1900,83.47,-0.06389140337705612,0.33840423822402954,0.41563307072913935,0.5389840006828308,0.09267713874578476
104469,2000,88.91,-0.006950927898287773,0.16210709512233734,0.2091049861885646,0.5450111031532288,0.08975044637918472
112885,2100,84.16,0.00047042686492204666,0.3500910997390747,0.29698626166989517,0.5390271544456482,0.10918155312538147
121870,2200,89.85,-0.004235775209963322,0.27707865834236145,0.18466111550029987,0.5251866579055786,0.09226515889167786
131142,2300,92.72,-0.005646846257150173,0.2721025347709656,0.1548198767573922,0.5238332152366638,0.08317939937114716
140803,2400,96.61,-0.015103870071470737,0.5448036193847656,0.4019002453072365,0.5313757658004761,0.08183355629444122
150906,2500,101.03,-0.08996252715587616,0.5585986971855164,0.763699815266106,0.5170429348945618,0.11114823073148727
161628,2600,107.22,-0.024656126275658607,0.5755189657211304,0.43221495314501224,0.5318715572357178,0.07922013849020004
170626,2700,89.98,-0.04421713575720787,0.22444187104701996,0.3017233655943225,0.5137429237365723,0.08570465445518494
179624,2800,89.98,-0.06647299975156784,0.4461667537689209,0.6540321109350771,0.500750720500946,0.09809650480747223
191176,2900,115.52,-0.045011967420578,0.4745108485221863,0.5021372503989066,0.5087792873382568,0.054154541343450546
