timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10393,298,48.58,-0.017952297917670675,44.20182355244955,0.6170376042524973
21076,380,118.19,-0.004823242521120442,58.42275672488742,0.5897960944308175
31898,433,182.96,-0.0019898676158239446,53.79592429267036,0.5816661864519119
42415,489,191.65,0.0031459035558833014,41.8892732196384,0.5719899170928531
53393,539,202.63,-0.004324216586408309,44.75747436947293,0.5590287264850404
64441,582,237.43,-0.00874895635060966,66.70610685348511,0.5668578699231148
75314,615,275.61,0.0030256076715886593,15.898477607303196,0.5600043104754554
85819,655,280.13,-0.00414078733107696,8.504824982749092,0.5692449592881732
97508,685,322.88,-0.004791121423477307,36.42083010673523,0.5482647359371186
109198,710,355.11,-0.0010878624808457163,56.136349784003365,0.554378092288971
120767,735,398.97,-0.0005661563417460355,26.370667351616753,0.5654039333264033
133104,760,453.36,-0.0022299915086477994,50.90658454895019,0.5650644272565841
145570,785,480.62,-0.001831296132877469,56.77042980194092,0.5749177604913711
157627,810,484.29,-0.009835420222952963,31.241554069519044,0.545777653157711
169793,835,490.26,-0.0038905957248061896,61.187056922912596,0.5612503722310066
181944,860,488.4,-0.0004313677316531539,60.70261516571045,0.5565954640507698
194275,885,487.05,-0.002078463009092957,51.720229387283325,0.540355995297432
