timesteps,episodes,mean_return,policy_loss,entropy
44899,100,-448.54,-0.002506352961063385,1.081577181816101
78334,200,-333.46,0.021770333871245384,1.034680724143982
101459,300,-230.27,-0.003925936296582222,1.003156065940857
119451,400,-178.92,0.009887459687888622,0.9457973837852478
134843,500,-152.93,0.07484880834817886,0.8202003836631775
149158,600,-142.16,0.01822669431567192,0.8427717089653015
162667,700,-134.1,-0.007772456388920546,0.8007098436355591
174787,800,-120.2,0.004541323985904455,0.7614232897758484
187909,900,-130.23,-0.00850981567054987,0.7077652215957642
200201,1000,-121.92,0.07287365198135376,0.6446646451950073
