timesteps,episodes,mean_return,policy_loss,entropy
2818,100,28.18,-0.011286832392215729,0.6875724792480469
5946,200,31.28,-0.01151125319302082,0.6726885437965393
9370,300,34.24,-0.01848670095205307,0.6599037647247314
12972,400,36.02,-0.011641827411949635,0.6626381278038025
17522,500,45.5,-0.015032379887998104,0.646826446056366
22757,600,52.35,-0.015473930165171623,0.6330628395080566
27723,700,49.66,0.010905683040618896,0.625654935836792
33081,800,53.58,0.0028483378700912,0.6283764243125916
38856,900,57.75,-0.00971838366240263,0.6152760982513428
44563,1000,57.07,-0.006026327144354582,0.61717689037323
51077,1100,65.14,-0.005398014560341835,0.6102181077003479
57131,1200,60.54,0.0014528350438922644,0.5959598422050476
64456,1300,73.25,-0.010219174437224865,0.6026131510734558
71235,1400,67.79,-0.007787828333675861,0.5948030352592468
78927,1500,76.92,0.0023996566887944937,0.6016772985458374
87209,1600,82.82,-0.003951301332563162,0.5963494181632996
97085,1700,98.76,-0.01300330925732851,0.5806167721748352
108107,1800,110.22,-0.005684446543455124,0.5985661745071411
119997,1900,118.9,-0.010513115674257278,0.583037257194519
135110,2000,151.13,-0.011288612149655819,0.5845690965652466
150058,2100,149.48,-0.012279891408979893,0.5850129723548889
168020,2200,179.62,-0.011035051196813583,0.5816154479980469
189203,2300,211.83,0.002333531156182289,0.5821207761764526
