timesteps,episodes,mean_return,policy_loss,entropy
9817,100,-189.325017479282,0.0026179063133895397,1.3795725107192993
18724,200,-176.6528117862981,0.007305234204977751,1.3750054836273193
27366,300,-170.81591649607458,-0.002025084337219596,1.3764711618423462
35927,400,-149.95130353545568,-0.0015424404991790652,1.374388337135315
44574,500,-154.19819522738737,0.007565533742308617,1.3736417293548584
52981,600,-150.28232637943006,0.0052881441079080105,1.3737022876739502
61430,700,-131.33292544153713,-0.0012892233207821846,1.37152898311615
69864,800,-139.12272396224336,-0.005029183812439442,1.374772310256958
78614,900,-127.05734686063639,-0.008556297980248928,1.3781979084014893
87231,1000,-128.4319014116164,0.007385732606053352,1.3821179866790771
96750,1100,-141.7954775359415,0.0037109695840626955,1.3811194896697998
105742,1200,-123.84945720550184,-0.0005631227977573872,1.380464792251587
114933,1300,-145.50140935636432,-0.002297361148521304,1.3789095878601074
124366,1400,-143.25115560668226,0.0073851668275892735,1.378800630569458
133985,1500,-130.04581597408313,0.0031013526022434235,1.3703845739364624
143490,1600,-136.9569638885349,-0.008190682157874107,1.3654052019119263
152882,1700,-117.22369373607677,0.0013247831957414746,1.3743191957473755
162517,1800,-126.10147503206625,0.008249714970588684,1.366423487663269
172279,1900,-118.0018215773044,-0.003431821707636118,1.364958643913269
182301,2000,-129.38980312054372,0.0041176630184054375,1.3580296039581299
192678,2100,-122.6496695526037,0.0038634748198091984,1.3540701866149902
