timesteps,episodes,mean_return,policy_loss,entropy
1997,100,19.97,-0.007834861986339092,0.6894215941429138
4240,200,22.43,0.008195590227842331,0.6881977915763855
6998,300,27.58,-0.01311802864074707,0.6805933117866516
10030,400,30.32,-0.027675995603203773,0.6732796430587769
13747,500,37.17,-0.004148581996560097,0.669506847858429
17697,600,39.5,-0.007721615489572287,0.6617065668106079
21928,700,42.31,-0.027672195807099342,0.656022846698761
26993,800,50.65,0.0005006985738873482,0.6466363668441772
31799,900,48.06,-0.022287316620349884,0.6344624161720276
37458,1000,56.59,-0.002993625123053789,0.6184471845626831
43599,1100,61.41,-0.007401262875646353,0.6174092888832092
50031,1200,64.32,-0.0017198314890265465,0.6141290664672852
56555,1300,65.24,0.004252548795193434,0.6137546300888062
64242,1400,76.87,-0.008394266478717327,0.6086625456809998
71837,1500,75.95,-0.01969221420586109,0.5953688025474548
81052,1600,92.15,-0.012735852040350437,0.5956692099571228
89573,1700,85.21,-0.007128080353140831,0.5913911461830139
99255,1800,96.82,0.0013480561319738626,0.5892820358276367
108532,1900,92.77,-0.012263422831892967,0.5860698223114014
118076,2000,95.44,0.0040550073608756065,0.5917279124259949
128721,2100,106.45,-0.001588163897395134,0.5727607011795044
139183,2200,104.62,0.006670186761766672,0.5890529155731201
149147,2300,99.64,-0.00825561210513115,0.5854285359382629
160796,2400,116.49,-0.009046794846653938,0.5770624279975891
171569,2500,107.73,0.0021200731862336397,0.5774179697036743
182232,2600,106.63,-0.019060220569372177,0.5712749361991882
192794,2700,105.62,-0.016608985140919685,0.5567619800567627
