timesteps,episodes,mean_return,policy_loss,rudder_loss,rudder_last_mse,entropy,value_diff_std
2345,100,23.45,-0.008722269907593727,0.8976545333862305,1.1527300329878927,0.6909903883934021,0.14246752858161926
4861,200,25.16,-0.0572977215051651,0.8689928650856018,1.106959203630686,0.6868484616279602,0.0943174883723259
7692,300,28.31,-0.04075745493173599,0.679664134979248,0.9615075190241138,0.6714725494384766,0.09260281175374985
10949,400,32.57,-0.09381451457738876,0.5334778428077698,0.7139190549962222,0.6686210632324219,0.12035544216632843
14398,500,34.49,-0.07034921646118164,0.7508020401000977,1.4021172945698102,0.6507800817489624,0.16225679218769073
18894,600,44.96,-0.08470699936151505,0.5105048418045044,0.7361395953048486,0.6467024683952332,0.1613704264163971
24081,700,51.87,-0.10704294592142105,0.47288694977760315,0.6072391247066359,0.6291056871414185,0.19586187601089478
28921,800,48.4,-0.08156724274158478,0.3584563732147217,0.43410032393876463,0.6226391792297363,0.18921522796154022
34266,900,53.45,-0.08786191046237946,0.3361908197402954,0.39425075776137725,0.5791140794754028,0.179820254445076
39833,1000,55.67,-0.13181759417057037,0.26671555638313293,0.08150776223822807,0.5837904214859009,0.16519597172737122
46746,1100,69.13,-0.05615585669875145,0.11960633844137192,0.1151937030745709,0.5737829208374023,0.1437433958053589
53512,1200,67.66,-0.04371429234743118,0.28774482011795044,0.19291614340272645,0.5707797408103943,0.1781340092420578
61053,1300,75.41,-0.021763160824775696,0.16418549418449402,0.15858072677316765,0.5726466774940491,0.14527402818202972
69400,1400,83.47,-0.008590701967477798,0.30062001943588257,0.22695658439770341,0.5535216331481934,0.12856456637382507
77965,1500,85.65,-0.03343220800161362,0.5062088966369629,0.31661512597153585,0.5553566217422485,0.14728142321109772
87231,1600,92.66,-0.018900036811828613,0.42532867193222046,0.25855879245403535,0.5497771501541138,0.12876664102077484
98449,1700,112.18,-0.039399564266204834,0.792003333568573,0.3558508749585599,0.5424982905387878,0.1124187558889389
111232,1800,127.83,-0.04344389960169792,0.40880343317985535,0.5992508519285669,0.5497597455978394,0.08966382592916489
124923,1900,136.91,-0.011432020924985409,0.25548040866851807,0.5126015645451844,0.5480121970176697,0.08717670291662216
139006,2000,140.83,0.022547675296664238,0.4779682457447052,0.6453172276339804,0.552928626537323,0.08932895213365555
152276,2100,132.7,-0.022372806444764137,0.26777079701423645,0.5795218898293872,0.5529612898826599,0.10712770372629166
163794,2200,115.18,-0.0231146439909935,0.2854606807231903,0.47627998909835395,0.5530251264572144,0.11918225884437561
174502,2300,107.08,-0.018666869029402733,0.19118842482566833,0.3058500838155548,0.5480546951293945,0.11976569145917892
184040,2400,95.38,-0.037177473306655884,0.21034793555736542,0.40554573814151806,0.5488646626472473,0.10030559450387955
197525,2500,134.85,-0.021529564633965492,1.3936450481414795,1.0647681698940383,0.5418766736984253,0.08914200216531754
