timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2090,100,20.9,0.010059014894068241,1.7434899806976318,1.0102851450443269,0.6876574158668518,0.02012791857123375,0.054723333567380905,0.6361101269721985,0.0834813117980957
4602,200,25.12,0.0055929506197571754,0.7373868823051453,1.4768295938769975,0.6922075152397156,0.026997096836566925,0.07757525146007538,0.6745939254760742,0.08121347427368164
7231,300,26.29,-0.05420247092843056,1.2417885065078735,1.2855456645828478,0.6843001246452332,0.03938637673854828,0.10075311362743378,0.6269616484642029,0.08068013191223145
9870,400,26.39,-0.03877432271838188,2.4430456161499023,0.9974835570435971,0.6768051981925964,0.042579535394907,0.09740620106458664,0.5638117790222168,0.09321880340576172
12565,500,26.95,-0.04926355928182602,0.8060868978500366,1.1409519945052429,0.6602744460105896,0.03114226832985878,0.0865260660648346,0.6546379923820496,0.0922996997833252
16426,600,38.61,-0.08786805719137192,1.787548303604126,1.2936197464664778,0.6540734171867371,0.028410159051418304,0.0995267778635025,0.6991206407546997,0.10950851440429688
20658,700,42.32,-0.16045387089252472,0.7327485680580139,0.5262007226401086,0.6286875009536743,0.03833549842238426,0.10375671088695526,0.5748238563537598,0.0986623764038086
25139,800,44.81,-0.11528769135475159,0.6723436713218689,0.37743286583572627,0.620770275592804,0.04073811322450638,0.09768382459878922,0.46768197417259216,0.09870171546936035
30774,900,56.35,-0.10031956434249878,0.666426420211792,0.32819534772861514,0.616127610206604,0.04262826219201088,0.10045406222343445,0.4393315613269806,0.10616254806518555
36075,1000,53.01,-0.12370165437459946,0.8633161783218384,0.5096205010389289,0.5937328934669495,0.05681881681084633,0.11357685923576355,0.40249738097190857,0.09934306144714355
42244,1100,61.69,-0.0699491947889328,0.7777141332626343,0.38530431964366774,0.596285879611969,0.04403792321681976,0.09328825026750565,0.3889809250831604,0.13245749473571777
49001,1200,67.57,-0.030756806954741478,0.4801566004753113,0.20513187470884683,0.5892339944839478,0.02785833552479744,0.07435790449380875,0.4267882704734802,0.14953303337097168
56285,1300,72.84,-0.04760422185063362,0.9156666398048401,0.5195782256972356,0.5809135437011719,0.042587000876665115,0.09156500548124313,0.396438866853714,0.20334291458129883
65306,1400,90.21,-0.03506976738572121,0.9523444175720215,0.4519289033196401,0.5783435702323914,0.032546184957027435,0.0735248476266861,0.4051796793937683,0.22861075401306152
74426,1500,91.2,-0.026007797569036484,0.9036222696304321,0.6592869592830539,0.5718272924423218,0.020882131531834602,0.0611192062497139,0.46547800302505493,0.25156283378601074
86565,1600,121.39,-0.054330699145793915,1.0041090250015259,0.5278872290160507,0.5771949291229248,0.011705562472343445,0.042375531047582626,0.5827436447143555,0.492459774017334
98579,1700,120.14,-0.04678855463862419,0.6838299036026001,0.5253254355610504,0.5787052512168884,0.014244924299418926,0.04573860391974449,0.5296080112457275,0.36160874366760254
110363,1800,117.84,-0.021926116198301315,0.609224259853363,0.7105700439320268,0.5718382000923157,0.017282472923398018,0.05004524812102318,0.4651910662651062,0.37181806564331055
120971,1900,106.08,-0.0405312143266201,0.5834433436393738,0.9178424415489038,0.5779283046722412,0.01268216222524643,0.037331659346818924,0.4538816511631012,0.33942246437072754
131456,2000,104.85,0.0034543690271675587,0.5796179175376892,1.1267381068280278,0.5871360898017883,0.010235423222184181,0.038727883249521255,0.572972297668457,0.39888787269592285
141455,2100,99.99,-0.03439461812376976,0.5440261363983154,0.5697373021044768,0.5805615782737732,0.023996446281671524,0.06653567403554916,0.489126056432724,0.27436065673828125
151171,2200,97.16,-0.00015921384328976274,0.35389432311058044,0.719395362585783,0.5977686047554016,0.018348172307014465,0.05388805642724037,0.44662198424339294,0.15053248405456543
160538,2300,93.67,-0.014767888933420181,0.5722480416297913,0.8599060428561642,0.5973864197731018,0.024255767464637756,0.060556843876838684,0.42522144317626953,0.2545192241668701
169411,2400,88.73,-0.05922325700521469,0.5412432551383972,0.3964125680737197,0.5967429280281067,0.03231707587838173,0.07735373079776764,0.39557915925979614,0.2407073974609375
178514,2500,91.03,-0.05487919598817825,0.6825482845306396,1.4128972036453584,0.5877060294151306,0.026396755129098892,0.0677652582526207,0.429909884929657,0.2667202949523926
188848,2600,103.34,-0.07343868911266327,0.8201261162757874,0.7929607788547097,0.5731273889541626,0.01956501230597496,0.05444205552339554,0.42451897263526917,0.4958987236022949
