timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,credit_mean,credit_std,credit_sparsity,update_time
2428,100,24.28,0.013314845971763134,0.8750880360603333,1.067068586901587,0.6906926035881042,0.0015128859085962176,0.012471594847738743,0.5472193360328674,0.16751456260681152
4634,200,22.06,-0.015309415757656097,0.807856559753418,0.8377579504158348,0.6900089979171753,-0.0012106236536055803,0.03560963645577431,0.44826051592826843,0.12921762466430664
6879,300,22.45,-0.007813182659447193,0.7433798313140869,0.9685355712970097,0.6854641437530518,0.023512186482548714,0.07538231462240219,0.6857322454452515,0.13919854164123535
8827,400,19.48,-0.029416952282190323,1.0148900747299194,0.9619140063722929,0.6737447381019592,0.01923791877925396,0.07045657932758331,0.6003721952438354,0.18180203437805176
10700,500,18.73,0.02501353621482849,0.5804450511932373,0.32601969512179496,0.6464457511901855,0.01024293527007103,0.06901758909225464,0.602229118347168,0.16890931129455566
12246,600,15.46,0.047392699867486954,0.17671947181224823,0.15839545401110325,0.5953754782676697,0.012482674792408943,0.047662947326898575,0.6101221442222595,0.2688267230987549
13747,700,15.01,0.06815704703330994,0.3048706352710724,0.22976509642709667,0.5572247505187988,0.0038540426176041365,0.0460648387670517,0.5028395056724548,0.18059515953063965
15216,800,14.69,0.07073892652988434,0.20909950137138367,0.04956987671321258,0.5939840078353882,0.00549602136015892,0.042201776057481766,0.394297331571579,0.16262412071228027
16844,900,16.28,0.05086090415716171,0.45839574933052063,0.1075088447316375,0.6411795616149902,0.005060431081801653,0.04464954510331154,0.3927016854286194,0.1772160530090332
18573,1000,17.29,0.002495154971256852,0.3909946382045746,0.10257005385131682,0.6739214062690735,-0.004306081682443619,0.05652006343007088,0.5201314687728882,0.14121294021606445
20198,1100,16.25,-0.00315652322024107,0.30169230699539185,0.15502539315641617,0.6791651844978333,0.002413795795291662,0.07422816008329391,0.43620169162750244,0.1986396312713623
22137,1200,19.39,0.0060172607190907,0.47013479471206665,0.24422306153574028,0.6848378777503967,-0.006729789078235626,0.060421012341976166,0.5023375153541565,0.15130949020385742
24007,1300,18.7,-0.0015843032160773873,0.6186442375183105,0.14255167591230322,0.6828122138977051,0.002355166245251894,0.0540168322622776,0.4435906708240509,0.1217796802520752
25863,1400,18.56,-0.010734682902693748,0.3729526698589325,0.16579035827599,0.6800283789634705,-0.004569618497043848,0.06320881098508835,0.3958989381790161,0.13159513473510742
27645,1500,17.82,-0.027612511068582535,0.3416316509246826,0.14074676829902727,0.6810671091079712,-0.012372530065476894,0.06940432637929916,0.5479828715324402,0.14121580123901367
29446,1600,18.01,-0.006558982189744711,0.28995126485824585,0.08346666021037284,0.6668874621391296,-6.745383143424988e-05,0.05419159680604935,0.41990894079208374,0.13078761100769043
31270,1700,18.24,0.008546181954443455,0.40350738167762756,0.15197791988806178,0.6693338751792908,-0.006217928137630224,0.05761495977640152,0.3731432557106018,0.15252900123596191
32883,1800,16.13,-0.018717417493462563,0.4186851680278778,0.22418501807842403,0.6673474311828613,-0.014766508713364601,0.04761660844087601,0.3980157971382141,0.15828180313110352
34543,1900,16.6,0.028818078339099884,0.4280160665512085,0.1274456669013792,0.6563262343406677,-0.0077287559397518635,0.051045630127191544,0.3913100063800812,0.169877290725708
36250,2000,17.07,0.04975114017724991,0.23293514549732208,0.06375202386822518,0.634470522403717,-0.0034444723278284073,0.06774072349071503,0.497663676738739,0.24550652503967285
37876,2100,16.26,-0.035733986645936966,0.8227208256721497,0.1488793074904758,0.6405308246612549,-0.007019938435405493,0.038714177906513214,0.418060302734375,0.20389533042907715
39435,2200,15.59,0.019663304090499878,0.43215814232826233,0.11658057288220788,0.6333479285240173,-0.004563206806778908,0.05403858795762062,0.4140133559703827,0.11970162391662598
41122,2300,16.87,-0.01845981553196907,0.2175474911928177,0.06901537737309506,0.6531533598899841,-0.013248374685645103,0.058095041662454605,0.43858757615089417,0.1956770420074463
42692,2400,15.7,-0.03198739513754845,0.22164785861968994,0.04477364487247541,0.6512489914894104,-0.014085179194808006,0.048947785049676895,0.3518032133579254,0.17430782318115234
44346,2500,16.54,0.016190750524401665,0.3654133677482605,0.0335896303091431,0.6319352984428406,-0.007084375247359276,0.05797320231795311,0.4784175157546997,0.1727893352508545
45919,2600,15.73,0.060871437191963196,0.3610531687736511,0.117029881310494,0.6414727568626404,-0.010081215761601925,0.07533510029315948,0.45411306619644165,0.1323530673980713
47508,2700,15.89,-0.012179897166788578,0.20433153212070465,0.09468084877407819,0.651828408241272,-0.0069732931442558765,0.047788478434085846,0.4016883671283722,0.13215184211730957
49222,2800,17.14,0.007673915009945631,0.3464878499507904,0.06030121811976035,0.6588299870491028,-0.0011027453001588583,0.05133692920207977,0.4308958649635315,0.15402984619140625
50858,2900,16.36,-0.01603768765926361,0.22480611503124237,0.03345506736562432,0.6635485291481018,-0.006156952586025,0.06565018743276596,0.4129793345928192,0.10237455368041992
52512,3000,16.54,-0.0037712720222771168,0.3011554777622223,0.0890096505288966,0.6597244739532471,-0.005330652929842472,0.05290551483631134,0.37428173422813416,0.135878324508667
54198,3100,16.86,-0.037642717361450195,0.31028953194618225,0.09977307047326273,0.668463408946991,-0.004396455362439156,0.040766410529613495,0.3075585961341858,0.1348860263824463
55844,3200,16.46,-0.008772570639848709,0.47997811436653137,0.04484068334568292,0.6683719754219055,-0.009420376271009445,0.06541458517313004,0.4346804916858673,0.09614086151123047
57522,3300,16.78,0.021134449169039726,0.2842068672180176,0.0593390128583754,0.6815809011459351,-0.009220457635819912,0.07519221305847168,0.5046088695526123,0.15048646926879883
59394,3400,18.72,-0.0236740130931139,0.5560891032218933,0.06742752066200713,0.6822726726531982,-0.008812139742076397,0.07980242371559143,0.546561598777771,0.18163800239562988
61360,3500,19.66,-0.006647744216024876,0.6088352203369141,0.06004824204137549,0.6917444467544556,-0.013408483006060123,0.06559370458126068,0.46172434091567993,0.16016769409179688
63503,3600,21.43,-0.009070093743503094,0.7240844964981079,0.0974530374379583,0.6921530365943909,-0.011070425622165203,0.06734015047550201,0.4945928156375885,0.12765932083129883
65968,3700,24.65,-0.0018132514087483287,0.6061053276062012,0.08464898948820215,0.6903589963912964,-0.006647717207670212,0.05949125066399574,0.5610675811767578,0.1377859115600586
68449,3800,24.81,0.0012174670118838549,1.1326013803482056,0.3738948115302871,0.6888503432273865,-0.006916185840964317,0.08904187381267548,0.5875730514526367,0.167435884475708
70974,3900,25.25,0.00038465126999653876,1.0333751440048218,0.1854710596453515,0.686743438243866,-0.014639449305832386,0.08553234487771988,0.5523732900619507,0.17801737785339355
73450,4000,24.76,-0.006910267286002636,0.8510880470275879,0.2337742573318489,0.6890731453895569,-0.008569353260099888,0.11236818134784698,0.5689125657081604,0.17440271377563477
76031,4100,25.81,-0.0024236382450908422,0.9671950936317444,0.33198161450369906,0.6883747577667236,-0.013698413036763668,0.11425536125898361,0.6196644306182861,0.16081690788269043
78519,4200,24.88,-0.0009414399974048138,1.0086052417755127,0.18713140795905142,0.6874088644981384,-0.008846565149724483,0.07496775686740875,0.42744067311286926,0.17424702644348145
80568,4300,20.49,0.0013339766301214695,0.42951664328575134,0.11412442114706872,0.6899895668029785,-0.0014163749292492867,0.08176805824041367,0.3947986960411072,0.14264869689941406
82837,4400,22.69,0.0036856825463473797,0.43040722608566284,0.07726792752897987,0.6914604902267456,-0.005477345548570156,0.09211822599172592,0.5217134356498718,0.16654324531555176
85098,4500,22.61,0.0019529674900695682,0.716496467590332,0.10463114521310975,0.6911707520484924,-0.013276031240820885,0.0826353132724762,0.4823305308818817,0.14509224891662598
87277,4600,21.79,-0.01659674383699894,0.6008082628250122,0.053441812723273564,0.6871494650840759,-0.0087844617664814,0.08383162319660187,0.5426515340805054,0.1829545497894287
89427,4700,21.5,-0.010834639891982079,0.7195148468017578,0.033950101333963784,0.6857348680496216,-0.0065472242422401905,0.08538491278886795,0.5395131707191467,0.15953898429870605
