timesteps,episodes,mean_return,policy_loss,value_loss,entropy
10279,527,17.44,0.05969452149131232,15.11612171596951,0.664188297258483
20582,1037,24.09,0.013589012229608165,23.089847736888462,0.6845205707682503
30961,1391,32.81,-0.007510575465857983,33.31915595796373,0.6542974064747492
41268,1672,41.73,0.0048061463619685834,37.51089346408844,0.6287634703848097
51619,1953,36.45,-0.003385911618048946,48.042982856432594,0.6241833004686568
62009,2196,39.8,-0.0012453044117945763,64.59900342093573,0.6208743221229978
72415,2437,45.14,-0.0026599845279835993,30.63760895199246,0.5878691871960958
82806,2658,48.0,0.012405254968648983,41.46796856986152,0.5865903678867552
93166,2919,32.76,0.0031623763497918844,23.63044571876526,0.5602601733472612
103539,3145,48.59,0.022156172729511227,42.53895568847656,0.5451824284262128
113927,3381,42.39,0.002200835293883251,45.58952305052016,0.5168339543872409
124291,3574,55.69,-0.009639887359096773,49.96756614579095,0.5085524916648865
134642,3786,44.57,0.008669609255674813,118.64735317230225,0.49692165437671876
145035,3973,54.66,0.003931103739887476,46.060902171664765,0.484098376499282
155402,4192,44.61,-0.013286587963294651,27.619363678826225,0.4674363343252076
165713,4491,31.35,-0.02353038913052943,5.415388431813982,0.45420829786194694
176052,4800,37.49,0.0018083623403476344,7.631144457393223,0.4444548197918468
186396,5089,34.89,-0.0022281340271648434,9.922350512610542,0.41642282406489056
196708,5396,32.48,0.02351499087591138,5.081876912878619,0.40221746845377815
