timesteps,episodes,mean_return,policy_loss,entropy
2295,100,22.95,-0.0065834783017635345,0.6831245422363281
5205,200,29.1,-0.012022829614579678,0.6771285533905029
8768,300,35.63,-0.004041447304189205,0.6739770770072937
12103,400,33.35,-0.0087708355858922,0.6643571853637695
16411,500,43.08,-0.01774466037750244,0.6535699963569641
21130,600,47.19,-0.013760970905423164,0.6401426196098328
25910,700,47.8,-0.018760478124022484,0.6235558986663818
31396,800,54.86,-0.005686079617589712,0.6389618515968323
37076,900,56.8,-0.008061529137194157,0.5902179479598999
42410,1000,53.34,-0.021188823506236076,0.6007501482963562
49667,1100,72.57,-0.017500385642051697,0.6093217134475708
56830,1200,71.63,-0.00028696501976810396,0.6118078827857971
64538,1300,77.08,0.0016953937010839581,0.6049004793167114
71767,1400,72.29,0.0006300220265984535,0.5987287163734436
79527,1500,77.6,-0.02532004751265049,0.5761677622795105
87391,1600,78.64,-0.010703464969992638,0.5744597911834717
96885,1700,94.94,-0.000942156242672354,0.5773729085922241
105843,1800,89.58,0.006591786164790392,0.5873985290527344
115107,1900,92.64,0.0036277640610933304,0.5795173048973083
125460,2000,103.53,-0.0011594315292313695,0.5684211850166321
135777,2100,103.17,-0.0033279794733971357,0.5712334513664246
147087,2200,113.1,0.009724407456815243,0.570228099822998
156948,2300,98.61,-5.256025542621501e-05,0.5656434297561646
167101,2400,101.53,0.011314177885651588,0.5669364333152771
177184,2500,100.83,-0.0266854427754879,0.5698305368423462
188260,2600,110.76,-0.0059479232877492905,0.5664118528366089
198618,2700,103.58,-0.0052008312195539474,0.5762773752212524
