timesteps,episodes,mean_return,policy_loss,predictor_mse,last_step_mse,entropy,value_diff_std,update_time
2059,100,20.59,0.03471073880791664,0.5255724191665649,0.5594368496560491,0.6784152388572693,0.18289268016815186,0.09160208702087402
3893,200,18.34,0.038867268711328506,0.9366482496261597,0.8878373782422083,0.6852339506149292,0.261030375957489,0.0694429874420166
5902,300,20.09,0.002315257443115115,0.38080382347106934,0.6042942604826143,0.69289630651474,0.19051750004291534,0.06667900085449219
8212,400,23.1,-0.030389942228794098,0.5315431356430054,0.4567227405117592,0.688809871673584,0.19449281692504883,0.07538151741027832
11055,500,28.43,-0.08725082129240036,0.6250891089439392,0.36891879461084803,0.6732897162437439,0.2798779010772705,0.07406878471374512
14625,600,35.7,-0.06344926357269287,1.2280672788619995,0.8156881299600173,0.6671289801597595,0.287415474653244,0.0964205265045166
18656,700,40.31,-0.12515108287334442,1.378872275352478,0.8883722247245411,0.6474807262420654,0.2930604815483093,0.1294243335723877
23599,800,49.43,-0.09146589785814285,1.3424161672592163,0.7426286680658752,0.6417510509490967,0.3686702847480774,0.1444249153137207
28893,900,52.94,-0.062405526638031006,0.7747859954833984,0.5186268078900563,0.632396399974823,0.35987985134124756,0.17502427101135254
34728,1000,58.35,-0.036721937358379364,1.0503288507461548,0.6815892953871905,0.616882860660553,0.31669119000434875,0.17154693603515625
41067,1100,63.39,-0.06469161063432693,0.9769325256347656,0.4882685499411309,0.6128669381141663,0.3369811475276947,0.19308853149414062
47722,1200,66.55,-0.03984691575169563,1.2967127561569214,0.4427362547100832,0.6007830500602722,0.29630252718925476,0.21701598167419434
54993,1300,72.71,-0.06473836302757263,0.8620377779006958,0.7006940994411707,0.6014682650566101,0.3279220759868622,0.21114659309387207
63550,1400,85.57,-0.04199175909161568,0.7781615853309631,0.25798931426834315,0.5971536636352539,0.33809199929237366,0.21332263946533203
75670,1500,121.2,-0.040528785437345505,0.8712503910064697,0.6500155494703601,0.600132167339325,0.27030473947525024,0.42897939682006836
87690,1600,120.2,-0.03507671132683754,1.0128239393234253,0.8193017757352209,0.5891239047050476,0.2958579957485199,0.41346073150634766
98641,1700,109.51,-0.019161313772201538,0.6680121421813965,0.7990017669741064,0.599781334400177,0.2615886628627777,0.3872835636138916
110336,1800,116.95,-0.015894241631031036,0.9244813323020935,0.977752089034766,0.5838569402694702,0.337789386510849,0.4477238655090332
120273,1900,99.37,-0.0068398029543459415,0.69232177734375,0.7424006938701495,0.5927949547767639,0.26207268238067627,0.29986143112182617
130018,2000,97.45,-0.027091048657894135,0.6310495734214783,0.8679280867800117,0.5902342796325684,0.26000773906707764,0.32999658584594727
140266,2100,102.48,-0.03470347076654434,0.6443397402763367,0.6930528317148249,0.6001067161560059,0.23397693037986755,0.35626840591430664
149753,2200,94.87,-0.006542674265801907,0.46639660000801086,0.8037807748124275,0.5975161790847778,0.22257232666015625,0.16646742820739746
158393,2300,86.4,-0.022894933819770813,0.5440616607666016,0.6741284874364889,0.5949565172195435,0.2401212602853775,0.1615581512451172
167031,2400,86.38,-0.015482121147215366,0.5286550521850586,0.7439418721633653,0.6018643379211426,0.23065976798534393,0.3310070037841797
175853,2500,88.22,-0.060568321496248245,0.4577498733997345,0.7140120088433226,0.5801329612731934,0.23739895224571228,0.23793578147888184
184663,2600,88.1,-0.01115462277084589,0.537036120891571,0.31906330252531917,0.6051378846168518,0.21476827561855316,0.3659670352935791
194408,2700,97.45,-0.024146651849150658,0.5995330214500427,0.7141293770012757,0.5953691601753235,0.2297484427690506,0.3022420406341553
